iter	Passed	Remaining
0	0	96
1	1	90
2	2	85
3	3	82
4	4	82
5	5	86
6	6	84
7	7	84
8	8	83
9	9	83
10	10	83
11	11	82
12	12	81
13	13	80
14	13	79
15	14	78
16	15	77
17	16	76
18	17	75
19	19	76
20	19	75
21	21	74
22	21	73
23	22	72
24	23	71
25	24	69
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	47
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	87	8
91	87	7
92	88	6
93	90	5
94	91	4
95	91	3
96	92	2
97	94	1
98	95	0
99	96	0
