iter	Passed	Remaining
0	148	148411
1	149	74621
2	150	49921
3	151	37613
4	151	30245
5	152	25288
6	153	21761
7	154	19101
8	154	17027
9	155	15371
10	155	14018
11	156	12886
12	157	11929
13	157	11109
14	158	10396
15	158	9771
16	159	9222
17	160	8732
18	160	8294
19	161	7900
20	161	7543
21	162	7219
22	163	6924
23	163	6652
24	164	6404
25	164	6174
26	165	5959
27	165	5761
28	166	5580
29	167	5408
30	167	5247
31	168	5098
32	169	4963
33	170	4833
34	170	4707
35	171	4592
36	172	4479
37	172	4371
38	173	4270
39	173	4173
40	174	4080
41	175	3992
42	175	3909
43	176	3829
44	176	3752
45	177	3679
46	177	3608
47	178	3541
48	179	3477
49	179	3416
50	180	3358
51	181	3301
52	181	3247
53	182	3194
54	182	3143
55	183	3096
56	184	3048
57	184	3001
58	185	2957
59	186	2914
60	186	2873
61	187	2831
62	187	2792
63	188	2754
64	188	2716
65	189	2679
66	189	2643
67	190	2609
68	190	2576
69	191	2544
70	192	2513
71	192	2482
72	193	2452
73	193	2423
74	194	2396
75	194	2370
76	195	2345
77	196	2320
78	196	2296
79	197	2272
80	198	2249
81	198	2227
82	199	2202
83	200	2181
84	200	2159
85	201	2137
86	201	2117
87	202	2097
88	203	2078
89	203	2058
90	204	2039
91	204	2021
92	205	2003
93	206	1985
94	206	1968
95	207	1951
96	207	1934
97	208	1918
98	209	1902
99	209	1888
100	210	1873
101	211	1858
102	211	1843
103	212	1829
104	212	1815
105	213	1802
106	214	1789
107	215	1776
108	215	1763
109	216	1750
110	216	1737
111	217	1724
112	218	1711
113	218	1699
114	219	1687
115	219	1674
116	220	1662
117	220	1651
118	221	1639
119	222	1628
120	222	1617
121	223	1605
122	223	1594
123	224	1583
124	224	1574
125	225	1564
126	226	1554
127	226	1545
128	227	1536
129	228	1527
130	229	1519
131	229	1510
132	230	1501
133	230	1492
134	231	1482
135	232	1474
136	232	1465
137	233	1456
138	233	1448
139	234	1440
140	235	1432
141	235	1422
142	236	1414
143	236	1406
144	237	1399
145	237	1391
146	238	1383
147	239	1376
148	239	1369
149	240	1362
150	240	1354
151	241	1348
152	242	1341
153	242	1334
154	243	1328
155	244	1322
156	245	1316
157	245	1310
158	246	1304
159	247	1298
160	247	1291
161	248	1284
162	249	1278
163	249	1272
164	250	1266
165	250	1260
166	251	1254
167	252	1248
168	252	1242
169	253	1237
170	253	1231
171	254	1226
172	255	1220
173	256	1215
174	256	1209
175	257	1204
176	257	1198
177	258	1193
178	259	1188
179	259	1183
180	260	1178
181	261	1173
182	261	1168
183	262	1163
184	262	1158
185	263	1153
186	264	1148
187	264	1143
188	265	1138
189	265	1133
190	266	1128
191	267	1124
192	267	1119
193	268	1114
194	268	1110
195	269	1105
196	270	1101
197	270	1096
198	271	1092
199	272	1088
200	272	1084
201	273	1080
202	274	1076
203	274	1071
204	275	1067
205	275	1063
206	276	1059
207	277	1055
208	277	1050
209	278	1046
210	278	1042
211	279	1038
212	280	1034
213	280	1030
214	281	1026
215	281	1023
216	282	1019
217	282	1015
218	283	1011
219	284	1007
220	284	1003
221	285	1000
222	286	997
223	286	993
224	287	990
225	288	986
226	288	983
227	289	980
228	290	976
229	290	973
230	291	970
231	292	966
232	292	963
233	293	960
234	294	957
235	294	954
236	295	951
237	296	948
238	296	945
239	297	941
240	297	938
241	298	935
242	299	932
243	300	929
244	300	927
245	301	924
246	302	921
247	302	918
248	303	915
249	304	913
250	305	910
251	305	907
252	306	904
253	307	901
254	307	898
255	308	896
256	309	895
257	310	892
258	310	889
259	311	886
260	311	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	868
266	315	866
267	316	863
268	316	860
269	317	857
270	317	854
271	318	852
272	319	849
273	319	847
274	320	844
275	321	842
276	321	840
277	322	837
278	323	834
279	323	832
280	324	830
281	325	827
282	325	825
283	326	822
284	326	819
285	327	817
286	327	814
287	328	812
288	329	809
289	329	807
290	330	805
291	331	803
292	331	801
293	332	798
294	333	796
295	333	793
296	334	791
297	335	789
298	335	786
299	336	784
300	336	782
301	337	780
302	338	777
303	338	775
304	339	772
305	339	770
306	340	768
307	340	766
308	341	763
309	342	761
310	342	759
311	343	756
312	343	754
313	344	752
314	345	750
315	345	748
316	346	746
317	347	744
318	347	742
319	348	740
320	348	738
321	349	736
322	350	734
323	350	732
324	351	730
325	352	729
326	353	727
327	353	725
328	354	723
329	355	721
330	355	719
331	356	717
332	356	714
333	357	712
334	358	710
335	358	708
336	359	706
337	359	704
338	360	703
339	361	701
340	361	699
341	362	697
342	363	695
343	363	694
344	364	692
345	365	690
346	366	688
347	366	687
348	367	685
349	368	683
350	369	682
351	369	680
352	370	678
353	371	677
354	371	675
355	372	673
356	372	671
357	373	669
358	374	668
359	374	666
360	375	664
361	376	663
362	376	661
363	377	659
364	378	658
365	379	656
366	379	655
367	380	653
368	381	651
369	381	650
370	382	648
371	383	646
372	383	645
373	384	643
374	385	642
375	386	640
376	386	639
377	387	637
378	387	635
379	388	634
380	389	632
381	389	630
382	390	629
383	391	627
384	392	626
385	392	624
386	393	623
387	394	621
388	394	620
389	395	618
390	395	616
391	396	615
392	397	613
393	397	611
394	398	610
395	399	608
396	399	607
397	400	605
398	401	604
399	401	602
400	402	600
401	402	599
402	403	597
403	404	596
404	404	594
